id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
46,20,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,157,451.491951889868
53,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,158,427.748268587559
55,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,159,328.150621966317
54,45,0,50,15,50,15,50,15,2024/08/05 00:00:00+00,160,381.133994601902
56,45,20,60,15,60,18,50,15,2024/08/05 00:00:00+00,161,1080.29504878002
57,40,0,45,20,30,15,40,20,2024/08/05 00:00:00+00,162,461.305485773085
41,40,0,45,0,30,15,50,25,2024/08/05 00:00:00+00,163,498.266472501411
58,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,164,174.057258064503
59,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,165,342.458059792843
5,35,0,35,0,40,0,40,0,2024/08/05 00:00:00+00,166,938.178534441013
6,37,0,30,0,30,0,30,0,2024/08/05 00:00:00+00,167,306.99436665955
7,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,168,188.62987614952
8,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,169,446.232215776327
9,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,170,331.135688862165
67,12,0,12,0,15,0,15,0,2024/08/05 00:00:00+00,171,1740.14537852582
70,30,0,30,0,30,0,30,0,2024/08/05 00:00:00+00,172,389.238987102549
71,35,0,35,0,35,0,35,0,2024/08/05 00:00:00+00,173,216.493089519361
77,43,30,50,30,40,25,40,20,2024/08/05 00:00:00+00,174,700.869759962567
84,15,15,30,5,15,8,15,15,2024/08/05 00:00:00+00,175,211.436204535357
78,70,35,100,35,110,50,115,60,2024/08/05 00:00:00+00,176,913.632304769505
79,30,0,30,0,35,0,35,0,2024/08/05 00:00:00+00,177,219.374258794336
86,35,20,35,15,45,20,80,40,2024/08/05 00:00:00+00,178,241.84063007265
87,40,0,30,0,35,0,45,0,2024/08/05 00:00:00+00,179,485.473022348455
88,40,25,55,25,50,20,80,40,2024/08/05 00:00:00+00,180,518.105221429104
89,20,10,25,10,30,15,30,10,2024/08/05 00:00:00+00,181,500.486136748773
90,10,10,15,5,25,15,30,15,2024/08/05 00:00:00+00,182,404.032135646779
91,10,10,10,5,15,10,25,15,2024/08/05 00:00:00+00,183,803.386266581949
92,40,30,80,25,80,35,100,45,2024/08/05 00:00:00+00,184,140.885166584436
93,45,35,80,25,80,35,100,50,2024/08/05 00:00:00+00,185,107.541204304922
94,25,15,25,10,35,15,50,20,2024/08/05 00:00:00+00,186,138.317395986302
95,23,10,23,10,30,13,40,16,2024/08/05 00:00:00+00,187,154.582096336878
96,40,0,45,0,50,0,50,0,2024/08/05 00:00:00+00,188,479.023612920735
97,42,0,50,0,55,0,65,0,2024/08/05 00:00:00+00,189,514.932530845101
98,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,190,1435.1668970165
99,42,30,60,20,65,30,85,45,2024/08/05 00:00:00+00,191,377.204796457964
100,40,0,40,0,40,0,50,0,2024/08/05 00:00:00+00,192,178.598312408829
101,30,0,30,0,30,0,30,0,2024/08/05 00:00:00+00,193,134.180287475876
102,10,0,10,0,12,0,12,0,2024/08/05 00:00:00+00,194,469.152173512417
103,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,195,333.738876380461
104,20,0,20,0,15,0,15,0,2024/08/05 00:00:00+00,196,1523.0246779369
